Designator,Value,Footprint,LCSC,Quantity,Cost,Running Cost
"C1,C14,C15,C8",100nF,402,C1525,8,0.0096,0.0096
C3,1uF,402,C52923,2,0.0058,0.0154
C4,4.7uF,402,C23733,2,0.0094,0.0248
"C5,C6",10uF,603,C19702,4,0.0224,0.0472
C7,10pF,402,C32949,2,0.0088,0.056
"C10,C11,C2,C9",22uF,603,C59461,8,0.0696,0.1256
C12,4.7uF,603,C19666,2,0.0184,0.144
C13,10nF,402,C15195,2,0.0028,0.1468
C16,2.2uF,402,C12530,2,0.0048,0.1516
"D1,D2",LED,603,C2286,4,0.0224,0.174
J1,B2B-XH-A_LF__SN_,JST_B2B-XH-A_LF__SN_,C158012,3,0.0978,0.2718
J5,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,2,0.3388,0.6106
L1,1uH,402,C531288,6,0.3312,0.9418
"Q1,Q2",SS8050-G,TRANS_SS8050-G,C3199946,5,0.3075,1.2493
R1,680k,402,https://www.aliexpress.com/item/1005006098766125.html?spm=a2g0o.cart.0.0.65dd38dag9kl0s&mp=1,2,0.86,2.1115
R2,120k,603,C25808,2,0.0022,2.1137
R3,1M,603,C22935,2,0.0022,2.1217
R5,1.18K,402,C270651,2,0.008,2.1337
R6,1.13K,402,C67014,2,0.012,2.1361
"R7,R8",1.5K,402,C25867,4,0.0024,2.1445
"R10,R11,R12,R13,R14,R4,R9",10K,402,C25744,14,0.0084,2.1445
"J2, J4",PinHeader_1x22_P2.54mm_Vertical,PinHeader_1x22_P2.54mm_Vertical,https://www.aliexpress.com/item/4000988113226.html?spm=a2g0o.cart.0.0.65dd38dag9kl0s&mp=1,4,0.9,3.0445
MT1,ICM-42670-P,ICM-42670-P,https://www.aliexpress.com/item/1005009475826927.html?spm=a2g0o.cart.0.0.65dd38dag9kl0s&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D,2,3.38,6.4245
U1,BQ24072RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C140288,2,1.878,8.3025
U2,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,https://www.aliexpress.com/item/1005008405001510.html?spm=a2g0o.cart.0.0.186438daN5XPTv&mp=1,2,11.58,19.8825
U3,TPS63060,Texas_S-PWSON-N10_ThermalVias,C48567,2,1.698,21.5805
U4,CH340C,SOIC127P600X180-16N,C7464026,2,1.167,22.7475